Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Aruba,Americas,4902,45913.49,124,30,45,421.48,0,0,Community transmission
Mali,Africa,4880,240.98,375,43,162,8,14,1,Community transmission
Nicaragua,Americas,4671,705.1,42,0,161,24.3,1,0,Community transmission
Somalia,Eastern Mediterranean,4525,284.71,74,0,121,7.61,8,0,Sporadic cases
Thailand,South-East Asia,4039,57.87,78,13,60,0.86,0,0,Clusters of cases
Gambia,Africa,3767,1558.76,39,3,123,50.9,0,0,Community transmission
South Sudan,Africa,3154,281.77,107,45,62,5.54,2,1,Community transmission
Burkina Faso,Africa,3062,146.48,285,52,68,3.25,0,0,Community transmission
Benin,Africa,3055,252,81,0,44,3.63,1,0,Community transmission
Togo,Africa,3014,364.07,142,0,65,7.85,1,0,Community transmission
Curaçao,Americas,2658,16198.13,729,155,7,42.66,4,0,Community transmission
Guinea-Bissau,Africa,2425,1232.21,3,0,44,22.36,1,0,Community transmission
Sierra Leone,Africa,2416,302.87,7,0,74,9.28,0,0,Community transmission
Lesotho,Africa,2137,997.55,28,28,44,20.54,0,0,Community transmission
Yemen,Eastern Mediterranean,2081,69.77,3,0,607,20.35,2,1,Sporadic cases
San Marino,Europe,1714,50503.86,200,27,46,1355.41,2,0,Community transmission
New Zealand,Western Pacific,1713,355.23,22,0,25,5.18,0,0,Clusters of cases
Chad,Africa,1708,103.98,47,3,102,6.21,1,0,Community transmission
Niger,Africa,1640,67.75,197,0,76,3.14,6,0,Community transmission
Liberia,Africa,1598,315.96,7,0,83,16.41,0,0,Community transmission
United States Virgin Islands,Americas,1589,15216.66,53,26,23,220.25,0,0,Community transmission
Liechtenstein,Europe,1384,36290.22,128,40,16,419.54,2,0,Sporadic cases
Viet Nam,Western Pacific,1361,13.98,30,3,35,0.36,0,0,Clusters of cases
Sint Maarten,Americas,1092,25465.23,56,20,25,583,0,0,Community transmission
Jersey,Europe,1040,9558.82,185,0,32,294.12,0,0,Community transmission
Gibraltar,Europe,1035,30720.37,44,5,5,148.41,0,0,Clusters of cases
Sao Tome and Principe,Africa,997,4549.21,12,0,17,77.57,0,0,Community transmission
Mongolia,Western Pacific,819,249.83,107,7,0,0,0,0,Clusters of cases
Turks and Caicos Islands,Americas,751,19396.66,5,1,6,154.97,0,0,Clusters of cases
Saint Martin,Americas,744,19245.2,54,0,12,310.41,0,0,Community transmission
Other,Other,741,,0,0,13,,0,0,Not applicable
Burundi,Africa,692,58.2,11,0,1,0.08,0,0,Community transmission
Papua New Guinea,Western Pacific,671,75,26,2,7,0.78,0,0,Community transmission
Monaco,Europe,633,16129.85,30,9,3,76.44,0,0,Sporadic cases
Comoros,Africa,615,707.22,8,2,7,8.05,0,0,Community transmission
Eritrea,Africa,594,167.49,28,17,0,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Community transmission
Faroe Islands,Europe,505,10334.6,5,2,0,0,0,0,Sporadic cases
Mauritius,Africa,505,397.09,8,0,10,7.86,0,0,Clusters of cases
Bhutan,South-East Asia,418,541.73,29,3,0,0,0,0,Sporadic cases
Isle of Man,Europe,369,4339.54,0,0,25,294.01,0,0,No cases
Cambodia,Western Pacific,335,20.04,28,4,0,0,0,0,Sporadic cases
Guernsey,Europe,287,4541.43,2,0,13,205.71,0,0,Community transmission
Cayman Islands,Americas,285,4336.58,16,0,2,30.43,0,0,Sporadic cases
Barbados,Americas,279,970.86,13,1,7,24.36,0,0,Clusters of cases
Bermuda,Americas,272,4367.86,31,5,9,144.52,0,0,Clusters of cases
Saint Lucia,Americas,262,1426.81,24,1,2,10.89,0,0,Sporadic cases
Seychelles,Africa,181,1840.42,14,0,0,0,0,0,Sporadic cases
"Bonaire, Sint Eustatius and Saba",Americas,164,6254.53,3,1,3,114.41,0,0,Sporadic cases
Saint Barthélemy,Americas,152,15376.83,25,0,0,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,151,345.16,1,0,3,6.86,0,0,Sporadic cases
Antigua and Barbuda,Americas,144,1470.45,4,2,4,40.85,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,106,1841.65,2,0,2,34.75,0,0,Pending
Dominica,Americas,85,1180.7,5,0,0,0,0,0,Clusters of cases
Saint Vincent and the Grenadines,Americas,85,766.18,1,0,0,0,0,0,Sporadic cases
British Virgin Islands,Americas,73,2414.26,1,0,1,33.07,0,0,Clusters of cases
Fiji,Western Pacific,44,49.08,6,2,2,2.23,0,0,Sporadic cases
Grenada,Americas,41,364.37,0,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,39,5.36,0,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,34,119.09,2,1,0,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,31,23.51,1,0,0,0,0,0,Sporadic cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,22,413.6,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,18,317.06,0,0,0,0,0,0,No cases
Falkland Islands (Malvinas),Americas,17,4880.85,1,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,14,2415.88,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Anguilla,Americas,6,399.95,2,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,3,266.76,0,0,0,0,0,0,Sporadic cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,Sporadic cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
